Ranks,School Name,20 Year Net ROI,Total 4 Year Cost,Graduation Rate,Typical Years to graduate,Average Loan Amount
395,University of WisconsinEau Claire (OutofState),"370,000","113,000",67,5,"28,300"
396,Pennsylvania State UniversityPenn State Harrisburg (InState),"370,000","133,000",71,4,"18,700"
397,Middlebury College (Private),"370,000","282,000",93,4,"23,600"
398,University of MinnesotaDuluth (InState),"369,000","98,700",62,5,"36,600"
399,Walla Walla University (Private),"369,000","153,000",61,5,"30,700"
400,University of New HampshireMain Campus (InState),"368,000","133,000",76,4,"41,600"
401,Pennsylvania State UniversityPenn State Berks (OutofState),"367,000","168,000",71,4,"28,300"
402,Sonoma State University (InState),"367,000","106,000",62,5,"23,300"
403,Western New England University (Private),"367,000","213,000",65,4,"44,600"
404,Thomas More College (Private),"365,000","167,000",54,4,"27,800"
405,California State UniversityFresno (OutofState),"365,000","130,000",56,5,"19,100"
406,California State UniversityStanislaus (OutofState),"364,000","132,000",59,5,"17,500"
407,Northern Illinois University (InState),"364,000","116,000",49,5,"28,300"
408,University of North Dakota (OutofState),"364,000","129,000",61,5,"38,400"
409,North Carolina A & T State University (InState),"363,000","74,000",51,5,"27,000"
410,Wagner College (Private),"363,000","253,000",71,4,"40,000"
411,Marist College (Private),"363,000","227,000",84,4,"38,500"
412,Notre Dame de Namur University (Private),"363,000","222,000",52,4,"27,300"
413,California Lutheran University (Private),"362,000","244,000",68,4,"30,300"
414,University of Hartford (Private),"362,000","224,000",59,4,"37,100"
415,University of South FloridaMain Campus (InState),"361,000","89,600",75,4,"30,100"
416,University of Rhode Island (OutofState),"361,000","185,000",69,4,"27,800"
417,Nebraska Methodist College of Nursing & Allied Health (Private),"360,000","124,000",69,5,"31,600"
418,CUNY City College (OutofState),"360,000","148,000",56,5,"26,600"
419,California State UniversityFullerton (OutofState),"360,000","157,000",69,5,"22,600"
420,Florida State University (InState),"359,000","89,000",83,4,"26,900"
421,West Virginia University (OutofState),"359,000","153,000",61,5,"36,100"
422,California State UniversitySan Marcos (OutofState),"358,000","148,000",54,5,"22,000"
423,University of Tulsa (Private),"357,000","239,000",72,4,"57,300"
424,California State UniversityNorthridge (OutofState),"357,000","136,000",55,5,"20,300"
425,Ferris State University (InState),"356,000","93,400",47,5,"29,400"
426,Sacred Heart University (Private),"356,000","238,000",73,4,"45,000"
427,University of Colorado Colorado Springs (InState),"355,000","101,000",45,5,"28,200"
428,Oakland University (InState),"355,000","102,000",57,5,"23,200"
429,SUNY College at Geneseo (InState),"355,000","101,000",80,4,"26,100"
430,University of Arkansas (OutofState),"355,000","163,000",66,4,"31,900"
431,Saint Cloud State University (InState),"355,000","83,100",48,5,"32,600"
432,Ohio UniversityMain Campus (InState),"354,000","113,000",65,4,"34,000"
433,Connecticut College (Private),"354,000","283,000",84,4,"37,300"
434,SUNY Polytechnic Institute (OutofState),"354,000","136,000",57,4,"25,500"
435,University of Arizona (OutofState),"353,000","209,000",65,4,"28,200"
436,SUNY College of Technology at Alfred (OutofState),"352,000","121,000",60,4,"31,100"
437,University of Idaho (OutofState),"352,000","153,000",56,5,"21,400"
438,University of HoustonVictoria (OutofState),"351,000","122,000",19,5,"21,000"
439,Rutgers UniversityCamden (InState),"351,000","126,000",65,5,"27,000"
440,Morehouse College (Private),"351,000","194,000",54,5,"27,600"
441,University of WisconsinStout (InState),"350,000","79,300",60,5,"28,800"
442,Concordia UniversitySaint Paul (Private),"350,000","140,000",51,4,"30,500"
443,Tulane University of Louisiana (Private),"350,000","284,000",86,4,"34,000"
444,McNeese State University (InState),"350,000","85,600",47,5,"20,700"
445,Saint Martin's University (Private),"350,000","207,000",67,4,"27,800"
446,University of MinnesotaDuluth (OutofState),"349,000","118,000",62,5,"36,600"
447,Western Washington University (OutofState),"349,000","156,000",68,5,"24,300"
448,SUNY at Albany (OutofState),"349,000","169,000",63,4,"28,600"
449,Michigan State University (OutofState),"349,000","213,000",81,4,"31,200"
450,Rockhurst University (Private),"348,000","210,000",76,4,"27,300"
451,Baker College (Private),"348,000","85,000",18,6,"24,500"
452,University of North Carolina at Charlotte (OutofState),"347,000","149,000",64,5,"30,200"
453,University of Iowa (OutofState),"347,000","179,000",72,4,"31,900"
454,Indiana UniversityPurdue UniversityIndianapolis (InState),"347,000","90,600",50,5,"26,000"
455,Benedictine University (Private),"346,000","193,000",46,4,"26,600"
456,Northern Illinois University (OutofState),"346,000","135,000",49,5,"28,300"
457,Sierra Nevada College (Private),"346,000","200,000",45,4,"21,700"
458,University of Portland (Private),"346,000","245,000",81,4,"31,100"
459,New Jersey City University (InState),"345,000","125,000",41,5,"25,200"
460,Vermont Technical College (OutofState),"344,000","162,000",55,5,"43,700"
461,Idaho State University (InState),"344,000","85,400",36,5,"20,700"
462,Western Connecticut State University (OutofState),"344,000","160,000",52,5,"27,000"
463,Tennessee Technological University (OutofState),"344,000","168,000",54,5,"21,800"
464,Old Dominion University (InState),"344,000","104,000",53,5,"29,700"
465,Wayne State University (InState),"343,000","106,000",48,5,"24,600"
466,Florida International University (OutofState),"343,000","144,000",63,5,"24,300"
467,California State UniversityLos Angeles (InState),"343,000","103,000",52,5,"17,400"
468,CUNY Hunter College (OutofState),"343,000","120,000",57,5,"30,900"
469,Midwestern State University (InState),"343,000","82,900",45,5,"23,300"
470,Minnesota State UniversityMankato (InState),"342,000","81,400",50,5,"34,900"
471,University of NevadaLas Vegas (InState),"342,000","95,000",45,5,"22,900"
472,Rowan University (InState),"342,000","129,000",73,4,"37,800"
473,Ferris State University (OutofState),"342,000","107,000",47,5,"29,400"
474,University of Wyoming (OutofState),"341,000","127,000",60,5,"28,500"
475,La Sierra University (Private),"341,000","186,000",47,5,"25,100"
476,University of Georgia (OutofState),"341,000","181,000",87,4,"24,900"
477,Merrimack College (Private),"341,000","236,000",75,4,"51,600"
478,University of New Orleans (InState),"340,000","95,500",42,5,"20,100"
479,University of MissouriKansas City (OutofState),"340,000","147,000",50,5,"26,200"
480,Towson University (InState),"340,000","106,000",71,4,"28,900"
481,Cardinal Stritch University (Private),"340,000","175,000",50,5,"24,200"
482,California State UniversitySan Bernardino (InState),"340,000","96,600",55,5,"18,200"
483,University of Toledo (InState),"339,000","107,000",50,5,"26,000"
484,Montclair State University (InState),"339,000","124,000",67,4,"30,800"
485,Central Washington University (OutofState),"338,000","151,000",58,5,"24,400"
486,Cedarville University (Private),"338,000","160,000",75,4,"31,700"
487,University at Buffalo (OutofState),"338,000","178,000",75,4,"29,700"
488,Walsh University (Private),"338,000","175,000",65,4,"31,500"
489,University of Kansas (OutofState),"338,000","170,000",67,4,"28,500"
490,Texas State University (InState),"338,000","91,100",54,5,"24,100"
491,The University of Alabama (InState),"337,000","118,000",71,4,"42,200"
492,Quinnipiac University (Private),"337,000","258,000",77,4,"50,900"
493,Kansas State University (OutofState),"337,000","160,000",65,5,"27,100"
494,Central Connecticut State University (OutofState),"336,000","154,000",57,5,"28,000"
495,University of Akron Main Campus (InState),"336,000","106,000",46,5,"29,200"
496,Park University (Private),"335,000","98,200",62,4,"25,200"
497,St John's UniversityNew York (Private),"335,000","243,000",63,4,"30,400"
498,Midwestern State University (OutofState),"335,000","90,700",45,5,"23,300"
499,Tuskegee University (Private),"334,000","156,000",52,5,"15,300"
500,Howard University (Private),"334,000","175,000",65,4,"27,600"
501,Florida Atlantic University (InState),"334,000","95,700",50,5,"25,200"
502,Pennsylvania State UniversityPenn State Harrisburg (OutofState),"334,000","168,000",71,4,"25,200"
503,Colorado State UniversityFort Collins (OutofState),"333,000","175,000",70,5,"30,400"
504,Wellesley College (Private),"333,000","282,000",91,4,"20,400"
505,Ramapo College of New Jersey (InState),"333,000","125,000",72,4,"32,800"
506,Southern Illinois UniversityEdwardsville (InState),"332,000","100,000",51,5,"24,200"
507,University of Mary Washington (OutofState),"332,000","174,000",65,4,"31,400"
508,University of Kentucky (InState),"332,000","118,000",66,4,"35,100"
509,University of North Texas (InState),"331,000","96,600",56,5,"24,200"
510,Warner Pacific College (Private),"331,000","137,000",46,4,"22,700"
511,Texas A & M UniversityCorpus Christi (InState),"330,000","90,100",37,5,"24,400"
512,Western Michigan University (InState),"330,000","103,000",57,5,"35,000"
513,Drake University (Private),"330,000","219,000",81,4,"40,000"
514,The University of Texas at San Antonio (InState),"329,000","89,400",42,5,"24,300"
515,Texas Christian University (Private),"329,000","257,000",83,4,"50,700"
516,Mississippi State University (InState),"329,000","98,800",61,5,"27,700"
517,Dallas Baptist University (Private),"328,000","162,000",58,4,"45,300"
518,The University of Texas of the Permian Basin (InState),"328,000","84,600",40,5,"22,000"
519,University of NebraskaLincoln (OutofState),"328,000","162,000",66,5,"25,600"
520,Oklahoma State UniversityMain Campus (OutofState),"328,000","155,000",65,5,"27,300"
521,New Mexico State UniversityMain Campus (OutofState),"327,000","142,000",48,5,"18,900"
522,Auburn University (OutofState),"327,000","201,000",79,5,"32,300"
523,Ohio State UniversityMain Campus (OutofState),"327,000","186,000",86,4,"29,700"
524,Temple University (InState),"327,000","134,000",74,4,"39,000"
525,Union College (Nebraska) (Private),"327,000","141,000",46,5,"22,400"
526,Iona College (Private),"327,000","227,000",64,4,"32,800"
527,Illinois State University (InState),"326,000","118,000",70,4,"29,700"
528,Ohio Northern University (Private),"325,000","188,000",77,4,"54,400"
529,Oklahoma Christian University (Private),"325,000","142,000",55,4,"26,900"
530,University of MissouriColumbia (OutofState),"325,000","175,000",71,4,"31,000"
531,Marymount University (Private),"325,000","197,000",58,4,"29,000"
532,Holy Family University (Private),"324,000","188,000",58,4,"31,400"
533,Pacific Union College (Private),"324,000","173,000",57,5,"25,400"
534,University of WisconsinMilwaukee (InState),"324,000","96,900",44,5,"30,000"
535,Dakota State University (InState),"324,000","86,700",43,4,"25,900"
536,Boise State University (InState),"324,000","88,700",51,5,"27,400"
537,The University of Texas of the Permian Basin (OutofState),"324,000","88,300",40,5,"22,000"
538,Wright State UniversityMain Campus (InState),"323,000","99,200",45,5,"25,700"
539,University of NevadaReno (OutofState),"323,000","156,000",61,5,"25,600"
540,Saint Cloud State University (OutofState),"323,000","116,000",48,5,"32,600"
541,Laguna College of Art and Design (Private),"323,000","201,000",57,5,"26,200"
542,University of WisconsinLa Crosse (InState),"323,000","69,900",69,5,"27,500"
543,The Master's College and Seminary (Private),"322,000","176,000",70,4,"33,300"
544,University of MassachusettsDartmouth (OutofState),"322,000","180,000",59,5,"28,900"
545,Sonoma State University (OutofState),"321,000","153,000",62,5,"23,300"
546,Clayton  State University (InState),"321,000","80,200",30,5,"25,500"
547,Indiana UniversityBloomington (OutofState),"321,000","198,000",79,4,"31,600"
548,Presentation College (Private),"321,000","134,000",34,5,"25,700"
549,The University of Texas at El Paso (OutofState),"321,000","151,000",37,5,"18,700"
550,Northwest University (Private),"321,000","172,000",58,4,"33,100"
551,Bowie State University (InState),"320,000","91,800",43,5,"26,500"
552,University of Central Florida (InState),"319,000","89,600",72,5,"25,600"
553,Fitchburg State University (InState),"319,000","97,100",58,4,"29,000"
554,Brigham Young UniversityHawaii (Private),"319,000","74,900",65,6,"20,800"
555,University of WisconsinStout (OutofState),"318,000","111,000",60,5,"28,800"
556,William Paterson University of New Jersey (InState),"318,000","117,000",55,5,"25,800"
557,University of South FloridaMain Campus (OutofState),"317,000","133,000",75,4,"30,100"
558,University of Maine (InState),"317,000","98,900",57,4,"37,200"
559,California State UniversityDominguez Hills (InState),"317,000","93,900",44,5,"17,600"
560,Montana State University (OutofState),"317,000","156,000",57,5,"27,800"
561,St Mary's College of Maryland (InState),"316,000","121,000",77,4,"23,000"
562,SUNY College at Geneseo (OutofState),"316,000","140,000",80,4,"26,100"
563,Ohio UniversityMain Campus (OutofState),"316,000","151,000",65,4,"34,000"
564,Wichita State University (InState),"315,000","95,600",50,5,"32,000"
565,McNeese State University (OutofState),"315,000","121,000",47,5,"20,700"
566,Assumption College (Private),"314,000","220,000",70,4,"36,200"
567,Saint Joseph's University (Private),"314,000","246,000",81,4,"43,500"
568,University of North Florida (InState),"314,000","85,200",67,5,"24,000"
569,Austin College (Private),"314,000","218,000",72,4,"32,000"
570,Southeastern Oklahoma State University (InState),"313,000","69,600",35,5,"18,800"
571,Northern Kentucky University (InState),"313,000","91,900",46,5,"24,200"
572,Texas Woman's University (InState),"313,000","79,900",43,5,"22,300"
573,Saint Anselm College (Private),"313,000","233,000",78,4,"36,400"
574,University of New Orleans (OutofState),"312,000","124,000",42,5,"20,100"
575,Dakota State University (OutofState),"312,000","98,600",43,4,"25,900"
576,University of New MexicoMain Campus (InState),"311,000","89,800",54,5,"25,700"
577,North Carolina A & T State University (OutofState),"311,000","126,000",51,5,"27,000"
578,Salisbury University (InState),"311,000","102,000",70,4,"29,400"
579,Seattle Pacific University (Private),"311,000","232,000",68,4,"29,600"
580,Barnard College (Private),"310,000","293,000",92,4,"24,700"
581,University of Nebraska at Omaha (InState),"310,000","87,700",50,5,"22,400"
582,University of Oregon (InState),"309,000","109,000",74,4,"29,900"
583,University of Akron Main Campus (OutofState),"309,000","133,000",46,5,"29,200"
584,University of Colorado Colorado Springs (OutofState),"309,000","147,000",45,5,"28,200"
585,University of New Haven (Private),"309,000","230,000",62,4,"47,300"
586,Wesleyan University (Private),"309,000","286,000",92,4,"28,400"
587,Minnesota State UniversityMankato (OutofState),"309,000","114,000",50,5,"34,900"
588,Rosemont College (Private),"309,000","140,000",49,4,"34,000"
589,New England Institute of Technology (Private),"309,000","186,000",51,4,"44,000"
590,Saint Peter's University (Private),"309,000","219,000",59,4,"25,100"
591,Sam Houston State University (InState),"308,000","88,900",54,5,"23,600"
592,Nichols College (Private),"308,000","208,000",59,4,"37,900"
593,University of New HampshireMain Campus (OutofState),"308,000","194,000",76,4,"41,600"
594,New Jersey City University (OutofState),"308,000","163,000",41,5,"25,200"
595,Montclair State University (OutofState),"308,000","156,000",67,4,"30,800"
596,The University of TennesseeKnoxville (InState),"308,000","125,000",72,4,"30,600"
597,University of CaliforniaSanta Cruz (OutofState),"308,000","258,000",75,4,"25,200"
598,Southern Illinois UniversityEdwardsville (OutofState),"307,000","126,000",51,5,"24,200"
599,Oakland University (OutofState),"307,000","149,000",57,5,"23,200"
600,Rowan University (OutofState),"307,000","163,000",73,4,"37,800"
601,University of North Carolina at Chapel Hill (OutofState),"307,000","203,000",91,4,"26,700"
602,SewaneeThe University of the South (Private),"307,000","242,000",79,4,"23,200"
603,New College of Florida (InState),"307,000","82,600",64,4,"21,300"
604,Barry University (Private),"307,000","187,000",35,5,"26,000"
605,Stevenson University (Private),"307,000","210,000",60,4,"34,100"
606,Westminster College (Utah) (Private),"306,000","192,000",58,4,"27,000"
607,Texas A & M International University (InState),"306,000","73,600",47,5,"16,100"
608,Immaculata University (Private),"306,000","191,000",67,4,"40,300"
609,Framingham State University (InState),"306,000","106,000",61,4,"29,300"
610,Western Michigan University (OutofState),"306,000","127,000",57,5,"35,000"
611,University of Louisiana at Monroe (InState),"306,000","85,400",47,4,"23,800"
612,The University of Texas at Tyler (InState),"306,000","86,600",42,5,"22,500"
613,Butler University (Private),"305,000","233,000",82,4,"41,700"
614,Elon University (Private),"305,000","202,000",85,4,"34,000"
615,University of WashingtonTacoma Campus (OutofState),"305,000","207,000",56,4,"19,800"
616,Florida State University (OutofState),"305,000","144,000",83,4,"26,900"
617,Franklin and Marshall College (Private),"305,000","287,000",85,4,"26,400"
618,SUNY College of Environmental Science and Forestry (InState),"303,000","112,000",76,4,"29,600"
619,Cleary University (Private),"303,000","132,000",44,5,"29,100"
620,Widener UniversityMain Campus (Private),"303,000","250,000",65,4,"55,700"
621,University of Scranton (Private),"303,000","248,000",83,4,"40,900"
622,Georgia State University (InState),"303,000","109,000",55,5,"22,500"
623,Albertus Magnus College (Private),"302,000","211,000",61,4,"32,500"
624,University of Toledo (OutofState),"302,000","144,000",50,5,"26,000"
625,Mount Saint Mary's University (Private),"301,000","240,000",65,4,"23,900"
626,University of Denver (Private),"301,000","265,000",77,4,"31,600"
627,Concordia UniversityTexas (Private),"299,000","185,000",49,4,"27,000"
628,Taylor University (Private),"298,000","185,000",77,4,"28,900"
629,Manhattanville College (Private),"298,000","221,000",60,4,"30,300"
630,Simmons College (Private),"298,000","236,000",81,4,"36,900"
631,Saint Louis University (Private),"297,000","237,000",79,4,"33,200"
632,Ursinus College (Private),"297,000","269,000",81,4,"37,100"
633,California State UniversityLos Angeles (OutofState),"297,000","150,000",52,5,"17,400"
634,Northern Arizona University (InState),"297,000","109,000",57,4,"24,800"
635,California State UniversityBakersfield (InState),"297,000","103,000",43,5,"19,900"
636,Ramapo College of New Jersey (OutofState),"296,000","162,000",72,4,"32,800"
637,Denison University (Private),"296,000","264,000",82,4,"31,000"
638,York College Pennsylvania (Private),"296,000","136,000",63,4,"35,700"
639,Southern Illinois UniversityCarbondale (InState),"296,000","115,000",48,4,"27,300"
640,Florida Gulf Coast University (InState),"295,000","81,600",50,5,"34,500"
641,Youngstown State University (InState),"295,000","90,900",41,5,"23,000"
642,Fitchburg State University (OutofState),"295,000","121,000",58,4,"29,000"
643,Pacific Lutheran University (Private),"295,000","223,000",69,4,"30,100"
644,Skidmore College (Private),"295,000","282,000",88,4,"27,200"
645,Youngstown State University (OutofState),"294,000","92,200",41,5,"23,000"
646,Saint Mary's University of Minnesota (Private),"294,000","186,000",64,4,"33,700"
647,Regent University (Private),"294,000","118,000",57,4,"35,700"
648,Pratt InstituteMain (Private),"294,000","267,000",70,5,"34,100"
649,Christian Brothers University (Private),"293,000","181,000",61,5,"32,500"
650,California State UniversitySan Bernardino (OutofState),"293,000","143,000",55,5,"18,200"
651,Texas State University (OutofState),"292,000","138,000",54,5,"24,100"
652,Duquesne University (Private),"292,000","214,000",81,4,"43,200"
653,Baylor University (Private),"291,000","247,000",78,4,"52,300"
654,Southern Utah University (InState),"291,000","81,100",50,5,"17,500"
655,Southwestern Oklahoma State University (InState),"291,000","82,500",35,5,"20,600"
656,University of North Texas (OutofState),"291,000","136,000",56,5,"24,200"
657,Winona State University (InState),"290,000","87,800",59,5,"37,400"
658,Southern University and A & M College (InState),"290,000","92,400",41,5,"25,800"
659,Clarkson College (Private),"290,000","111,000",38,4,"45,900"
660,Jacksonville University (Private),"289,000","216,000",52,4,"33,700"
661,University of WisconsinWhitewater (InState),"289,000","73,700",62,5,"26,500"
662,Alabama A & M University (InState),"289,000","93,400",30,5,"25,800"
663,Texas A & M UniversityCorpus Christi (OutofState),"289,000","131,000",37,5,"24,400"
664,Westmont College (Private),"289,000","247,000",79,4,"33,700"
665,Rutgers UniversityCamden (OutofState),"288,000","189,000",65,5,"27,000"
666,University of WisconsinLa Crosse (OutofState),"288,000","105,000",69,5,"27,500"
667,Illinois Wesleyan University (Private),"288,000","240,000",77,4,"36,900"
668,Towson University (OutofState),"288,000","157,000",71,4,"28,900"
669,Wright State UniversityMain Campus (OutofState),"287,000","134,000",45,5,"25,700"
670,University of La Verne (Private),"287,000","243,000",73,4,"27,400"
671,Point Loma Nazarene University (Private),"287,000","203,000",75,4,"30,100"
672,William Paterson University of New Jersey (OutofState),"287,000","149,000",55,5,"25,800"
673,Alderson Broaddus University (Private),"287,000","160,000",39,4,"38,900"
674,Rhode Island School of Design (Private),"286,000","277,000",89,4,"30,600"
675,West Chester University of Pennsylvania (InState),"286,000","107,000",77,4,"38,200"
676,University of MissouriSt Louis (InState),"286,000","99,100",52,5,"21,700"
677,Cleveland State University (InState),"285,000","110,000",46,5,"26,000"
678,Elizabethtown College (Private),"285,000","221,000",69,4,"35,300"
679,University of CaliforniaRiverside (OutofState),"285,000","253,000",76,4,"20,400"
680,Colorado State UniversityPueblo (InState),"285,000","105,000",36,5,"22,800"
681,Florida Atlantic University (OutofState),"285,000","145,000",50,5,"25,200"
682,Morgan State University (InState),"285,000","95,400",43,5,"28,100"
683,Roger Williams University (Private),"285,000","215,000",67,4,"53,000"
684,Wayne State University (OutofState),"284,000","165,000",48,5,"24,600"
685,University of NevadaLas Vegas (OutofState),"284,000","153,000",45,5,"22,900"
686,Eastern Washington University (InState),"284,000","90,700",54,5,"25,000"
687,University of North Georgia (InState),"284,000","80,300",38,4,"22,600"
688,Idaho State University (OutofState),"284,000","146,000",36,5,"20,700"
689,Notre Dame of Maryland University (Private),"284,000","204,000",63,4,"27,500"
690,Monmouth University (Private),"283,000","224,000",73,4,"16,000"
691,Massachusetts College of Art and Design (InState),"283,000","120,000",71,4,"39,300"
692,The University of Texas at San Antonio (OutofState),"283,000","135,000",42,5,"24,300"
693,Kalamazoo College (Private),"283,000","242,000",86,4,"26,600"
694,Marietta College (Private),"283,000","200,000",58,4,"29,300"
695,Bloomsburg University of Pennsylvania (InState),"282,000","98,700",60,4,"36,400"
696,Framingham State University (OutofState),"282,000","130,000",61,4,"29,300"
697,North Carolina Wesleyan College (Private),"282,000","173,000",41,4,"26,200"
698,Illinois State University (OutofState),"281,000","163,000",70,4,"29,700"
699,Norwich University (Private),"281,000","229,000",61,4,"32,700"
700,Dominican University of California (Private),"281,000","260,000",70,4,"35,200"
701,Southern Adventist University (Private),"280,000","137,000",55,5,"34,800"
702,University of WisconsinMilwaukee (OutofState),"280,000","141,000",44,5,"30,000"
703,Clayton  State University (OutofState),"280,000","122,000",30,5,"25,500"
704,Virginia Commonwealth University (InState),"280,000","126,000",67,4,"33,500"
705,Temple University (OutofState),"279,000","182,000",74,4,"39,000"
706,University of St Francis (Private),"279,000","182,000",62,4,"24,400"
707,Wichita State University (OutofState),"279,000","132,000",50,5,"32,000"
708,University of Louisville (InState),"279,000","109,000",59,5,"28,800"
709,South Dakota State University (InState),"279,000","94,800",56,5,"33,600"
710,University of Vermont (OutofState),"279,000","230,000",77,4,"40,900"
711,Truman State University (InState),"279,000","85,200",75,4,"23,900"
712,University of Miami (Private),"278,000","270,000",83,4,"31,600"
713,Southeastern Oklahoma State University (OutofState),"278,000","105,000",35,5,"18,800"
714,Creighton University (Private),"278,000","217,000",81,4,"35,200"
715,Adelphi University (Private),"277,000","230,000",73,4,"33,800"
716,North Central College (Private),"277,000","208,000",69,4,"31,300"
717,Bowie State University (OutofState),"277,000","134,000",43,5,"26,500"
718,CUNY Lehman College (InState),"276,000","110,000",53,5,"16,100"
719,Wayland Baptist University (Private),"276,000","129,000",23,6,"41,100"
720,SUNY College of Technology at Delhi (InState),"276,000","97,200",48,5,"25,800"
721,Kean University (InState),"275,000","119,000",47,5,"40,700"
722,Cabrini University (Private),"275,000","188,000",55,4,"33,600"
723,Christopher Newport University (InState),"275,000","121,000",78,4,"39,900"
724,University of Arkansas at Little Rock (InState),"275,000","94,700",43,5,"28,600"
725,Northern Kentucky University (OutofState),"275,000","130,000",46,5,"24,200"
726,Bridgewater State University (InState),"274,000","106,000",61,5,"27,800"
727,Hawaii Pacific University (Private),"274,000","177,000",45,4,"38,400"
728,Salisbury University (OutofState),"274,000","139,000",70,4,"29,400"
729,Pennsylvania College of Technology (InState),"274,000","131,000",45,4,"46,200"
730,Mount Saint Mary College (Private),"274,000","194,000",63,4,"30,400"
731,Texas Woman's University (OutofState),"273,000","120,000",43,5,"22,300"
732,Worcester State University (InState),"272,000","103,000",58,4,"29,800"
733,Texas A & M UniversityTexarkana (InState),"272,000","81,200",34,4,"28,300"
734,University of South Alabama (InState),"272,000","85,100",46,5,"44,200"
735,Mississippi State University (OutofState),"272,000","156,000",61,5,"27,700"
736,Saint Leo University (Private),"271,000","157,000",49,4,"26,800"
737,University of Puget Sound (Private),"271,000","259,000",76,4,"29,600"
738,University of Mississippi (InState),"270,000","99,600",66,4,"37,100"
739,Old Dominion University (OutofState),"270,000","178,000",53,5,"29,700"
740,California State UniversityDominguez Hills (OutofState),"270,000","141,000",44,5,"17,600"
741,Frostburg State University (InState),"269,000","91,300",49,5,"30,100"
742,Southwestern College (Private),"268,000","176,000",42,4,"29,900"
743,St John's College (Private),"268,000","246,000",69,4,"33,800"
744,Cleveland State University (OutofState),"268,000","127,000",46,5,"26,000"
745,Sam Houston State University (OutofState),"268,000","129,000",54,5,"23,600"
746,Colorado Christian University (Private),"268,000","178,000",55,4,"35,700"
747,Hampton University (Private),"267,000","166,000",60,4,"84,300"
748,California State UniversityMonterey Bay (InState),"267,000","93,400",63,5,"19,900"
749,Shippensburg University of Pennsylvania (InState),"267,000","115,000",58,4,"39,300"
750,Winona State University (OutofState),"267,000","111,000",59,5,"37,400"
751,Siena College (Private),"267,000","220,000",80,4,"33,700"
752,Southwestern Adventist University (Private),"267,000","132,000",40,4,"28,300"
753,Furman University (Private),"267,000","258,000",83,4,"36,400"
754,University of Hawaii at Manoa (InState),"266,000","118,000",61,5,"25,800"
755,Loyola University Chicago (Private),"266,000","243,000",74,4,"35,000"
756,Rivier University (Private),"266,000","194,000",46,4,"37,300"
757,Rider University (Private),"266,000","243,000",67,4,"40,400"
758,St Mary's University (Private),"266,000","179,000",60,4,"31,000"
759,The University of Alabama (OutofState),"266,000","190,000",71,4,"42,200"
760,University of Kentucky (OutofState),"266,000","185,000",66,4,"35,100"
761,South Dakota State University (OutofState),"265,000","108,000",56,5,"33,600"
762,Lesley University (Private),"264,000","192,000",60,4,"42,900"
763,Southwestern Oklahoma State University (OutofState),"264,000","110,000",35,5,"20,600"
764,Houston Baptist University (Private),"264,000","183,000",44,4,"25,100"
765,Indiana UniversityPurdue UniversityIndianapolis (OutofState),"264,000","173,000",50,5,"26,000"
766,SUNY College of Environmental Science and Forestry (OutofState),"264,000","152,000",76,4,"29,600"
767,Texas A & M International University (OutofState),"263,000","116,000",47,5,"16,100"
768,Augusta University (InState),"263,000","86,000",40,5,"22,100"
769,University of South CarolinaColumbia (InState),"262,000","110,000",77,4,"35,100"
770,Baker University (Private),"262,000","175,000",64,4,"29,600"
771,Eastern Michigan University (InState),"262,000","103,000",46,5,"25,500"
772,Westminster College (Missouri) (Private),"261,000","167,000",59,4,"28,700"
773,Indiana Wesleyan UniversityMarion (Private),"261,000","153,000",71,4,"30,800"
774,Boise State University (OutofState),"261,000","152,000",51,5,"27,400"
775,Nova Southeastern University (Private),"261,000","200,000",58,4,"29,600"
776,University of Nebraska at Omaha (OutofState),"260,000","139,000",50,5,"22,400"
777,Northwood UniversityMichigan (Private),"260,000","164,000",54,4,"30,200"
778,SUNY College of Technology at Delhi (OutofState),"260,000","114,000",48,5,"25,800"
779,Pittsburg State University (InState),"260,000","78,900",52,5,"23,400"
780,University of MinnesotaCrookston (OutofState),"258,000","94,500",50,4,"30,000"
781,John Carroll University (Private),"258,000","227,000",76,4,"32,400"
782,LewisClark State College (InState),"258,000","69,800",38,5,"20,600"
783,University of MinnesotaCrookston (InState),"258,000","94,500",50,4,"30,000"
784,University of Louisiana at Monroe (OutofState),"257,000","134,000",47,4,"23,800"
785,Central Michigan University (InState),"257,000","97,800",61,5,"24,500"
786,Stockton University (InState),"257,000","122,000",77,4,"33,100"
787,Valparaiso University (Private),"257,000","216,000",71,4,"30,400"
788,Indiana UniversityPurdue UniversityFort Wayne (InState),"257,000","88,500",40,5,"20,200"
789,Southern University and A & M College (OutofState),"256,000","127,000",41,5,"25,800"
790,College of Saint Elizabeth (Private),"256,000","209,000",53,4,"28,800"
791,St Lawrence University (Private),"256,000","278,000",84,4,"29,500"
792,East Carolina University (InState),"256,000","87,200",66,5,"29,000"
793,University of North Florida (OutofState),"256,000","143,000",67,5,"24,000"
794,University of Central Florida (OutofState),"255,000","154,000",72,5,"25,600"
795,Middle Georgia State University (InState),"255,000","63,500",23,5,"22,300"
796,University of Louisiana at Lafayette (InState),"255,000","101,000",51,5,"27,400"
797,Alabama A & M University (OutofState),"255,000","127,000",30,5,"25,800"
798,Principia College (Private),"255,000","171,000",80,4,"23,100"
799,Hartwick College (Private),"254,000","234,000",65,4,"37,200"
